Year,Merchandise imports from high-income economies (% of total merchandise imports),"Life expectancy at birth, total (years)",Trade (constant 2010 US$),Lending interest rate (%),Deposit interest rate (%),"Inflation, consumer prices (annual %)",Cost to import (US$ per container),Electric power consumption (kWh per capita),"Unemployment, total (% of total labor force) (national estimate)","Foreign direct investment, net inflows (BoP, current US$)",Household final consumption expenditure per capita (constant 2010 US$),GDP per capita (constant 2010 US$),GNI per capita (constant 2010 US$),Trade in services (constant 2010 US$),Gross domestic savings (constant 2010 US$),Household final consumption expenditure per capita (% change),Trade in services (% change),Electric power consumption (% change),"Foreign direct investment, net inflows (% change)",Gross domestic savings (% change),GNI per capita (% change),Cost to import (% change),Trade (% change),GDP per capita (% change)
2000,65.94,81.08,1034226416427.84,2.07,0.07,-0.33,,7975.21,4.8,10688168325.61,23446.58,40153.53,40681.22,202084305633.76,1352414735755.02,0.24,1.28,2.03,-13.16,3.16,2.09,,10.71,2.09
2001,64.25,81.42,1035441507705.67,1.97,0.06,-0.65,,7822.81,4.7,4926033619.18,23763.6,40199.29,40889.2,216009559872.99,1274942281703.58,1.35,6.89,-1.91,-53.91,-5.73,0.51,,0.12,0.11
2002,62.29,81.56,1084883747392.23,1.86,0.04,-0.8,,7915.67,5.2,11557373873.94,23991.56,40222.05,40892.08,228172949621.28,1220069177870.13,0.96,5.63,1.19,134.62,-4.3,0.01,,4.77,0.06
2003,60.57,81.76,1151452093070.36,1.82,0.04,-1.31,,7815.31,5.2,8771535612.32,24059.04,40812.41,41509.83,231744492384.77,1253837639374.24,0.28,1.57,-1.27,-24.1,2.77,1.51,,6.14,1.47
2004,59.53,82.03,1305251080607.33,1.77,0.08,0.17,,8050.73,4.6,7527948175.22,24328.22,41761.82,42562.46,268937525599.97,1305129270928.8,1.12,16.05,3.01,-14.18,4.09,2.54,,13.36,2.33
2005,59.76,81.93,1471120893248.16,1.68,0.27,-0.01,711.1,8212.69,4.4,5459618342.94,24698.44,42301.89,43308.71,284888302595.73,1290403367430.15,1.52,5.93,2.01,-27.48,-1.13,1.75,,12.71,1.29
2006,59.98,82.32,1708680705436.62,1.66,0.68,-0.27,711.1,8246.63,4.1,-2396909736.31,24955.07,42990.77,44232.91,316353201057.77,1315727025337.54,1.04,11.04,0.41,-143.9,1.96,2.13,0.0,16.15,1.63
2007,59.12,82.51,1898713445099.6,1.88,0.81,0.24,711.1,8474.38,3.7,21631204435.68,25156.68,43882.75,45376.77,361360489950.87,1380349841829.63,0.81,14.23,2.76,-1002.46,4.91,2.59,0.0,11.12,2.07
2008,60.01,82.59,1958175455955.28,1.91,0.59,0.06,711.1,8052.58,3.9,24624845329.56,24911.69,43404.63,44844.91,366828692088.55,1287958422098.04,-0.97,1.51,-4.98,13.84,-6.69,-1.17,0.0,3.13,-1.09
2009,58.35,82.93,1314131459745.48,1.72,0.43,1.37,711.1,7808.07,4.9,12226471578.74,24747.94,41010.79,42157.91,288545773975.78,1051929789214.09,-0.66,-21.34,-3.04,-50.35,-18.33,-5.99,0.0,-32.89,-5.52
2010,57.29,82.84,1605084990983.13,1.6,0.5,-1.35,719.6,8337.13,4.9,7440979284.16,25428.56,42935.25,44089.35,299433487692.7,1158365411671.69,2.75,3.77,6.78,-39.14,10.12,4.58,1.2,22.14,4.69
2011,57.78,82.59,1707863696518.41,1.5,0.46,-0.72,719.6,7841.46,4.4,-850717035.07,25545.27,42824.71,44141.19,293177203122.63,1058789017730.2,0.46,-2.09,-5.95,-111.43,-8.6,0.12,0.0,6.4,-0.26
2012,58.54,83.1,1747394426786.72,1.41,0.48,-0.28,719.6,7752.72,4.2,546962692.19,26178.85,43658.17,45020.66,300704469962.3,1054357576528.33,2.48,2.57,-1.13,-164.29,-0.42,1.99,0.0,2.31,1.95
2013,58.31,83.33,1988054868786.11,1.3,0.54,-0.03,1021.3,7835.6,3.9,10648441636.21,26661.53,44327.94,45926.53,352185064898.39,1037542622499.34,1.84,17.12,1.07,1846.83,-1.59,2.01,41.93,13.77,1.53
